FECHA	BCOLO CB Equity	ELCONDOR CB Equity	CONCONC CB Equity	PFBCOLO CB Equity	GRUPOSUR CB Equity	PFGRUPSU CB Equity	ISA CB Equity	EXITO CB Equity	NUTRESA CB Equity	GRUPOARG CB Equity	CEMARGOS CB Equity	PFGRUPOA CB Equity	PFCEMARG CB Equity	ETB CB Equity	PFAVH CB Equity	CELSIA CB Equity	BVC CB Equity	ECOPETL CB Equity	BOGOTA CB Equity	GEB CB Equity	PFDAVVND CB Equity	CORFICOL CB Equity	PFAVAL CB Equity	PFCORCOL CB Equity	PFCARPAK CB Equity	MINEROS CB Equity	CNEC CB Equity	FABRI CB Equity	AVAL CB Equity	ENKA CB Equity	VALSIME CB Equity	CLH CB Equity
19/07/2021	27200	849.1	370	28000	18560	16800	22300	12270	21680	10300	5535	8440	3890	196.1	296.62	4050	11100	2448	69990	2450	29000	29030	1060	23000	5326.13	3900	9660	4.47	1020	14	4626.32	3500
20/07/2021	27200	849.1	370	28000	18560	16800	22300	12270	21680	10300	5535	8440	3890	196.1	296.62	4050	11100	2448	69990	2450	29000	29030	1060	23000	5326.13	3900	9660	4.47	1020	14	4626.32	3500
21/07/2021	27820	849	370	28310	18510	16700	22350	12170	21400	10400	5535	8100	3811	196.1	289.26	4076	11110	2535	69790	2510	29110	29020	1070	23000	5326.13	3999	9830	4.47	1020	14.13	4626.32	3615
21/07/2027																																
22/07/2021	28100	849	370	28270	18400	16720	22780	12180	20910	10420	5575	8100	3811	199.9	245.17	4078	11060	2550	70480	2480	29500	29670	1031	23000	5326.13	3872	9800	4.47	1020	14.13	4626.32	3600
23/07/2021	28270	849	370	28300	18480	16940	22600	12160	20800	10420	5695	8150	3899	199.9	265.7	4079	11060	2551	70470	2505	29030	29610	1045	22520	5326.13	3848	9900	4.41	1046	14.16	4626.32	3600
26/07/2021	28300	849	380	28300	18380	16900	22400	12540	20980	10450	5695	8025	3880	196	265.7	4097	11100	2597	69990	2490	28810	29480	1060	22600	5326.13	3848	10010	4.41	1031	14.15	4626.32	3600
27/07/2021	28020	849	380	28400	18000	16600	22010	12540	20860	10370	5660	8120	3811	196	249.99	4075	10950	2600	68000	2500	29040	29430	1033	23600	5326.13	3798	10030	4.41	1031	14.15	5708.25	3500
28/07/2021	27800	849	370	28020	17920	16340	22130	12500	20940	10090	5530	8000	3890	194.5	259.63	4050	11000	2611	68650	2500	28800	29420	1035	22570	5326.13	3730	9900	4.41	1030	14.15	5708.25	3500
29/07/2021	27720	849	365	27940	17840	16600	22300	12580	20570	9980	5550	7920	3848	194.9	248.67	4085	10800	2646	69870	2515	28790	29460	1045	22500	5326.13	3705	9890	4.41	1020	14.15	5708.25	3550
30/07/2021	27100	850	364.9	27800	17300	16280	21820	12860	20700	10090	5595	8050	3894	194	256.1	4042	10500	2633	68290	2529	28700	29280	1024	23200	5326.13	3695	9865	4.41	1020	14	5708.25	3650
2/08/2021	27700	850	364.9	27800	17770	16300	21980	12860	20450	9905	5465	8050	3850	194	256.1	4110	10480	2598	68000	2530	28500	28830	1025	23200	5326.13	3704	9820	4.23	1020	14.1	5708.25	3650
3/08/2021	27640	850	359.9	27700	18000	16380	21900	12580	20350	9905	5365	7915	3880	194	256.1	4082	10270	2620	69780	2530	28300	28500	1027	22340	5326.13	3709	9975	4.23	1020	14	5708.25	3681
4/08/2021	28190	850	350	28490	17960	16400	22000	12580	20560	9990	5360	7800	3800	197	253.5	4087	10110	2564	68600	2567	28870	28500	1025	22350	5326.13	3775	9720	4.23	1010	14	5708.25	3681
5/08/2021	27530	850	365	27400	17700	16390	22000	12580	20550	9940	5310	7795	3849	197	262.22	4080	10180	2527	69200	2584	28390	28550	1028	22330	5326.13	3755	9840	4.23	1010	14	5708.25	3681
6/08/2021	27250	880	365	27540	17700	16390	21600	12510	20700	9890	5380	7860	3800	197	256.96	4080	10200	2547	69360	2564	28420	28500	1029	22500	5326.13	3740	9895	4.99	1010	13.7	5708.25	3681
9/08/2021	27520	920	369	27970	17500	16100	21300	12510	20550	9950	5425	7860	3800	197	269.78	4060	10020	2590	68120	2549	28660	28490	1025	22500	5326.13	3740	9870	4.99	1010	14	5708.25	3681
10/08/2021	27800	920	382	28300	17530	16100	21330	12510	20990	10020	5550	7835	3930	197	272.18	4021	10070	2598	68190	2560	28800	28210	1025	22340	5326.13	3740	9895	6	1010	14	5708.25	3800
11/08/2021	27800	920	382	28300	17530	16100	21330	12510	20990	10020	5550	7835	3930	197	272.18	4021	10070	2598	68190	2560	28800	28210	1025	22340	5326.13	3740	9895	6	1010	14	5708.25	3800
12/08/2021	28990	909	371	29300	17700	16370	21800	12600	21250	10350	5625	8055	3950	193.9	280	4139	9770	2622	68200	2550	30000	28300	1035	22890	5300	3739	9500	7	1010	13.85	6100	3800
13/08/2021	29610	909	371	30050	18000	16500	21900	12600	21400	10220	5700	8050	3970	200	280	4100	9435	2586	69990	2568	31000	28280	1031	22890	5300	3739	9480	6.2	1010	14.2	6100	3800
16/08/2021	29610	909	371	30050	18000	16500	21900	12600	21400	10220	5700	8050	3970	200	280	4100	9435	2586	69990	2568	31000	28280	1031	22890	5300	3739	9480	6.2	1010	14.2	6100	3800
17/08/2021	30500	875	371	30800	18800	17300	23040	12600	21950	10650	5845	8280	4050	202.8	280	4198	9960	2580	70980	2625	31500	29000	1085	23380	5300	3715	9320	6.2	1050	15.6	6100	3800
18/08/2021	31380	870	372	31380	19580	17990	23270	12600	22980	11010	5840	8550	4165	196.5	282.9	4201	10410	2568	73290	2689	32690	29490	1100	23600	5326.13	3760	9165	6.2	1050	17.16	6317.13	3750
19/08/2021	31600	870	385	31650	19660	18140	23650	12600	22870	11080	5820	8650	4160	196.5	282.9	4170	10100	2520	72000	2700	32300	30000	1115	23700	5326.13	3840	9150	6.1	1060	17.14	6406.18	3750
20/08/2021	31270	890	385	31360	19500	18000	23450	12550	22900	11100	5820	8600	4120	196.5	240.11	4270	10200	2536	72480	2700	32480	29900	1119	23800	5326.13	3845	9240	6.1	1100	17.14	6406.18	3620
23/08/2021	31480	900	395	31520	19590	18200	23090	12630	22810	11030	5800	8610	4180	199	241.23	4320	10300	2644	72810	2700	33040	28600	1129	22990	5326.13	3850	9420	6.1	1110	17.14	6486.2	3600
24/08/2021	31400	900	393	31460	19450	17980	22590	12630	22650	11000	5790	8540	4160	199.6	219.05	4297	9940	2671	72800	2680	32680	28520	1122	22990	5326.13	3765	9315	6.1	1100	17.14	6486.2	3700
25/08/2021	31330	900	395	31400	19390	18120	22990	12630	22640	10940	5760	8490	4100	203.8	219.51	4370	9965	2676	73250	2664	32200	28750	1130	23000	5326.13	3690	9355	6.1	1100	17.14	6486.2	3700
26/08/2021	30800	900	395	30900	19380	17610	22900	12600	22300	10650	5785	8280	4083	203.5	219.51	4290	9940	2632	73270	2660	31330	28880	1118	23000	5326.13	3696	9380	6.1	1095	17.14	6486.2	3580
27/08/2021	31200	915	400	31300	19390	17800	22800	12490	22230	10890	5840	8275	4189	203.5	219.51	4250	9830	2660	72990	2695	32540	28660	1126	22390	5326.13	3725	9960	6.05	1095	15.7	6486.2	3599
